Variety,Country,Class,AALow.pct,AAHigh.pct,BALow.pct,BAHigh.pct,TOLow.mL100g,TOHigh.mL100g,CohumuloneLow.pct,CohumuloneHigh.pct,BPineneLow.pct,BPineneHigh.pct,MyrceneLow.pct,MyrceneHigh.pct,LinaloolLow.pct,LinaloolHigh.pct,CaryophylleneLow.pct,CaryophylleneHigh.pct,FarnseneLow.pct,FarnseneHigh.pct,HumuleneLow.pct,HumuleneHigh.pct,GerianolLow.pct,GerianolHigh.pct
Admiral,UK,B,13,0,4,6,0,1.7,37,45,NA,NA,39,48,NA,NA,6,8,0,2,23,26,0,0
Ahtanum,US,A,3.5,6.5,4,6,0.5,1.7,30,34,0.6,0.9,45,55,0.4,0.6,9,12,0.5,0.5,15,22,0.4,0.7
Amarillo,US,A,7,11,5.5,8,1,2.3,20,24,0.4,0.8,45,50,0.5,0.8,7,10,6,9,19,24,0.1,0.1
Aramis,FR,A,7.9,8.3,3.8,4.5,1.2,1.6,20,21,NA,NA,39,41,NA,NA,7.3,7.5,2,4,20.9,21.1,0,0
Aurora,SI,D,7,13,2.7,4.4,0.9,1.6,20,26,NA,NA,20,25,NA,NA,6,9,5,10,20,25,0,0
Bitter Gold,US,D,12,14.5,4.5,6,1,2,36,41,0.6,0.9,45,55,0.4,0.7,7,11,0.5,0.5,10,18,0.1,0.1
Blanc,DE,A,9,12,4.5,5.5,1.2,1.5,22,26,NA,NA,50,75,NA,NA,0,2,0.5,0.5,0,3,0,0
Bobek,SI,A,3.5,7,4,6.1,0.7,4,27,31,NA,NA,30,45,NA,NA,4,6,4,7,13,19,0,0
Bramling Cross,UK,D,5,7,2.3,3.2,0.7,1,33,35,NA,NA,35,37,NA,NA,14.9,15.1,0.5,0.5,39.9,30.1,0,0
Bravo,US,B,15,18,3.5,5.5,2.3,3.5,28,35,0.8,1,55,60,0.4,0.6,6,8,0.5,0.5,8,11,0.7,0.9
Brewers Gold (US),US,B,8,11,4,6.5,1.5,3,40,48,0.6,0.9,45,60,0.5,0.8,8,12,0.5,0.5,12,18,1,1
Brewers Gold (DE),DE,A,4.5,6.5,2.5,3.5,0.8,1.8,40,48,NA,NA,40,50,NA,NA,7,8,0.5,0.5,29,31,0,0
Bullion,US,B,8.1,8.2,4.1,4.6,1,2,38,40,0.6,0.8,40,55,0.5,0.8,9,14,0.5,0.5,15,25,0.1,0.1
Cascade,US,A,5.5,9,6,7.5,0.8,2.5,30,35,0.5,0.8,45,60,0.3,0.6,5,9,6,9,14,20,0.2,0.2
Celeia,SI,D,3,6,2,3.3,0.6,3.6,26,29,NA,NA,26,35,NA,NA,8,9,3,7,18,23,0,0
Centennial,US,D,7,12,3.5,5.5,1,3,23,27,0.8,1,55,65,0.6,0.9,5,7,0.5,0.5,10,20,1.2,1.8
Challenger,UK,D,6.5,8.5,4,4.5,1,1.7,20,25,NA,NA,30,42,NA,NA,9.5,9.5,0.5,0.5,25,25,0,0
Chelan,US,B,12,14.5,8.5,9.8,1.5,1.9,33,35,NA,NA,45,55,NA,NA,9,12,0.5,0.5,12,15,0,0
Chinook,US,D,11.5,15,3,4,1,2.5,27,31,0.3,0.5,20,30,0.3,0.5,9,11,0.5,0.5,18,24,0.7,1
Citra HBC394,US,A,11,15,3,4.5,1.5,3,20,24,0.7,1,60,70,0.6,0.9,5,8,0.5,0.5,7,12,0.3,0.5
Cluster,US,D,6,9,4,6,0.5,1,36,41,0.5,0.7,38,46,0.4,0.8,8,10,0.5,0.5,15,20,0.6,0.9
Columbus,US,B,14.5,17.5,4.5,6,2.5,4.5,28,30,0.6,1,45,55,0.4,0.6,6,10,0.5,0.5,9,14,0.2,0.5
Comet,US,B,8,10.5,4,5,1.2,2,34,37,0.8,1.1,40,55,0.5,0.8,10,15,0.5,0.5,1,2,0.2,0.9
Crystal,US,A,3,6,6,8.5,0.8,2.3,23,26,0.4,1,30,55,0.6,1,5,12,0.5,0.5,20,30,0.4,0.7
Dr. Rudi,NZ,D,10,12,7,8.5,1.3,1.3,33,36,NA,NA,29,30,NA,NA,10.1,10.1,0.5,0.5,33.2,33.2,0,0
